"","DateTime","Day-Ahead","hour","year","day"
"286",2023-01-12 21:00:00,66.84,21,2023,12
"287",2023-01-12 22:00:00,42.49,22,2023,12
"288",2023-01-12 23:00:00,32.64,23,2023,12
"289",2023-01-13,21.87,0,2023,13
"290",2023-01-13 01:00:00,16.54,1,2023,13
"291",2023-01-13 02:00:00,18.46,2,2023,13
"292",2023-01-13 03:00:00,24.82,3,2023,13
"293",2023-01-13 04:00:00,30.32,4,2023,13
"294",2023-01-13 05:00:00,85.05,5,2023,13
"295",2023-01-13 06:00:00,100.01,6,2023,13
"296",2023-01-13 07:00:00,105.93,7,2023,13
"297",2023-01-13 08:00:00,105.92,8,2023,13
"298",2023-01-13 09:00:00,100.01,9,2023,13
"299",2023-01-13 10:00:00,105.92,10,2023,13
"300",2023-01-13 11:00:00,105.94,11,2023,13
"301",2023-01-13 12:00:00,105.93,12,2023,13
"302",2023-01-13 13:00:00,99.56,13,2023,13
"303",2023-01-13 14:00:00,105.92,14,2023,13
"304",2023-01-13 15:00:00,116.16,15,2023,13
"305",2023-01-13 16:00:00,105.98,16,2023,13
"306",2023-01-13 17:00:00,105.91,17,2023,13
"307",2023-01-13 18:00:00,91.07,18,2023,13
"308",2023-01-13 19:00:00,84.94,19,2023,13
"309",2023-01-13 20:00:00,76.89,20,2023,13
"310",2023-01-13 21:00:00,76.51,21,2023,13
"311",2023-01-13 22:00:00,68.3,22,2023,13
"312",2023-01-13 23:00:00,49.71,23,2023,13
"313",2023-01-14,44.24,0,2023,14
"314",2023-01-14 01:00:00,45.41,1,2023,14
"315",2023-01-14 02:00:00,42.25,2,2023,14
"316",2023-01-14 03:00:00,41.7,3,2023,14
"317",2023-01-14 04:00:00,41.68,4,2023,14
"318",2023-01-14 05:00:00,45.1,5,2023,14
"319",2023-01-14 06:00:00,53.4,6,2023,14
"320",2023-01-14 07:00:00,53.63,7,2023,14
"321",2023-01-14 08:00:00,56.89,8,2023,14
"322",2023-01-14 09:00:00,66.72,9,2023,14
"323",2023-01-14 10:00:00,65.56,10,2023,14
"324",2023-01-14 11:00:00,65.39,11,2023,14
"325",2023-01-14 12:00:00,79.04,12,2023,14
"326",2023-01-14 13:00:00,80.05,13,2023,14
"327",2023-01-14 14:00:00,98.87,14,2023,14
"328",2023-01-14 15:00:00,102.1,15,2023,14
"329",2023-01-14 16:00:00,104.91,16,2023,14
"330",2023-01-14 17:00:00,101.42,17,2023,14
"331",2023-01-14 18:00:00,80.06,18,2023,14
"332",2023-01-14 19:00:00,70,19,2023,14
"333",2023-01-14 20:00:00,68.52,20,2023,14
"334",2023-01-14 21:00:00,57.39,21,2023,14
"335",2023-01-14 22:00:00,40.05,22,2023,14
"336",2023-01-14 23:00:00,27.4,23,2023,14
"337",2023-01-15,27.23,0,2023,15
"338",2023-01-15 01:00:00,24.28,1,2023,15
"339",2023-01-15 02:00:00,13,2,2023,15
"340",2023-01-15 03:00:00,7.98,3,2023,15
"341",2023-01-15 04:00:00,4.85,4,2023,15
"342",2023-01-15 05:00:00,6.05,5,2023,15
"343",2023-01-15 06:00:00,10.09,6,2023,15
"344",2023-01-15 07:00:00,14.03,7,2023,15
"345",2023-01-15 08:00:00,19.07,8,2023,15
"346",2023-01-15 09:00:00,17.83,9,2023,15
"347",2023-01-15 10:00:00,11.7,10,2023,15
"348",2023-01-15 11:00:00,6.93,11,2023,15
"349",2023-01-15 12:00:00,6.04,12,2023,15
"350",2023-01-15 13:00:00,6.09,13,2023,15
"351",2023-01-15 14:00:00,19.1,14,2023,15
"352",2023-01-15 15:00:00,27.43,15,2023,15
"353",2023-01-15 16:00:00,30.9,16,2023,15
"354",2023-01-15 17:00:00,27.61,17,2023,15
"355",2023-01-15 18:00:00,25.9,18,2023,15
"356",2023-01-15 19:00:00,12.47,19,2023,15
"357",2023-01-15 20:00:00,20.79,20,2023,15
"358",2023-01-15 21:00:00,31.04,21,2023,15
"359",2023-01-15 22:00:00,32.38,22,2023,15
"360",2023-01-15 23:00:00,35.35,23,2023,15
"361",2023-01-16,36.13,0,2023,16
"362",2023-01-16 01:00:00,36.13,1,2023,16
"363",2023-01-16 02:00:00,38.57,2,2023,16
"364",2023-01-16 03:00:00,41.81,3,2023,16
"365",2023-01-16 04:00:00,45.59,4,2023,16
"366",2023-01-16 05:00:00,66.81,5,2023,16
"367",2023-01-16 06:00:00,86.63,6,2023,16
"368",2023-01-16 07:00:00,89.34,7,2023,16
"369",2023-01-16 08:00:00,90.96,8,2023,16
"370",2023-01-16 09:00:00,98.73,9,2023,16
"371",2023-01-16 10:00:00,99.38,10,2023,16
"372",2023-01-16 11:00:00,90,11,2023,16
"373",2023-01-16 12:00:00,110.04,12,2023,16
"374",2023-01-16 13:00:00,115.97,13,2023,16
"375",2023-01-16 14:00:00,141.17,14,2023,16
"376",2023-01-16 15:00:00,146.14,15,2023,16
"377",2023-01-16 16:00:00,105.5,16,2023,16
"378",2023-01-16 17:00:00,88.91,17,2023,16
"379",2023-01-16 18:00:00,80.04,18,2023,16
"380",2023-01-16 19:00:00,65.91,19,2023,16
"381",2023-01-16 20:00:00,59.69,20,2023,16
"382",2023-01-16 21:00:00,51.24,21,2023,16
"383",2023-01-16 22:00:00,46.52,22,2023,16
"384",2023-01-16 23:00:00,47.13,23,2023,16
"385",2023-01-17,42.94,0,2023,17
"386",2023-01-17 01:00:00,42.15,1,2023,17
"387",2023-01-17 02:00:00,40.8,2,2023,17
"388",2023-01-17 03:00:00,41.62,3,2023,17
"389",2023-01-17 04:00:00,45.75,4,2023,17
"390",2023-01-17 05:00:00,98.44,5,2023,17
"391",2023-01-17 06:00:00,104.33,6,2023,17
"392",2023-01-17 07:00:00,98.45,7,2023,17
"393",2023-01-17 08:00:00,98.47,8,2023,17
"394",2023-01-17 09:00:00,98.43,9,2023,17
"395",2023-01-17 10:00:00,76.15,10,2023,17
"396",2023-01-17 11:00:00,98.44,11,2023,17
"397",2023-01-17 12:00:00,75.11,12,2023,17
"398",2023-01-17 13:00:00,72.21,13,2023,17
"399",2023-01-17 14:00:00,98.45,14,2023,17
"400",2023-01-17 15:00:00,100,15,2023,17
"401",2023-01-17 16:00:00,100.07,16,2023,17
"402",2023-01-17 17:00:00,100.03,17,2023,17
"403",2023-01-17 18:00:00,70.01,18,2023,17
"404",2023-01-17 19:00:00,60.14,19,2023,17
"405",2023-01-17 20:00:00,53.73,20,2023,17
"406",2023-01-17 21:00:00,47.42,21,2023,17
"407",2023-01-17 22:00:00,43.34,22,2023,17
"408",2023-01-17 23:00:00,39.85,23,2023,17
"409",2023-01-18,38.74,0,2023,18
"410",2023-01-18 01:00:00,38.69,1,2023,18
"411",2023-01-18 02:00:00,38.32,2,2023,18
"412",2023-01-18 03:00:00,42.7,3,2023,18
"413",2023-01-18 04:00:00,52.07,4,2023,18
"414",2023-01-18 05:00:00,150.93,5,2023,18
"415",2023-01-18 06:00:00,108.29,6,2023,18
"416",2023-01-18 07:00:00,142.6,7,2023,18
"417",2023-01-18 08:00:00,115,8,2023,18
"418",2023-01-18 09:00:00,166.35,9,2023,18
"419",2023-01-18 10:00:00,158.61,10,2023,18
"420",2023-01-18 11:00:00,142.58,11,2023,18
"421",2023-01-18 12:00:00,132.8,12,2023,18
"422",2023-01-18 13:00:00,142.52,13,2023,18
"423",2023-01-18 14:00:00,140,14,2023,18
"424",2023-01-18 15:00:00,150.11,15,2023,18
"425",2023-01-18 16:00:00,160.69,16,2023,18
"426",2023-01-18 17:00:00,155.15,17,2023,18
"427",2023-01-18 18:00:00,130.34,18,2023,18
"428",2023-01-18 19:00:00,120.97,19,2023,18
"429",2023-01-18 20:00:00,119.9,20,2023,18
"430",2023-01-18 21:00:00,82.29,21,2023,18
"431",2023-01-18 22:00:00,75.77,22,2023,18
"432",2023-01-18 23:00:00,83.56,23,2023,18
"433",2023-01-19,97.38,0,2023,19
"434",2023-01-19 01:00:00,82.7,1,2023,19
"435",2023-01-19 02:00:00,84.92,2,2023,19
"436",2023-01-19 03:00:00,92.84,3,2023,19
"437",2023-01-19 04:00:00,107.95,4,2023,19
"438",2023-01-19 05:00:00,152.75,5,2023,19
"439",2023-01-19 06:00:00,181.36,6,2023,19
"440",2023-01-19 07:00:00,164.83,7,2023,19
